Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
Vanguard FTSE 100 UCITS ETF,LON:VUKE,27/09/2018 16:30:00,33.49,33.26,33.49,33.22,1231961,34.51,30.49
Vanguard FTSE North America UCITS ETF,LON:VNRT,27/09/2018 16:30:00,54.66,54.55,54.66,54.53,432,56.05,45.35
Vanguard FTSE 250 UCITS ETF,LON:VMID,27/09/2018 16:30:00,32.43,32.42,32.46,32.26,21918,33.36,30.27
Vanguard S&P 500 UCITS ETF,LON:VUSA,27/09/2018 16:30:00,42.31,41.97,42.31,41.94,173001,42.31,34.63
Vanguard FTSE Emerging Markets UCITS ETF,LON:VFEM,27/09/2018 16:30:00,42.96,42.57,42.96,42.52,2775,48.57,41.35
Vanguard DAX UCITS ETF,LON:VDXX,27/09/2018 16:30:00,21.88,21.88,21.88,21.88,1,22.58,21.06
Vanguard Euro Stoxx 50 UCITS ETF,LON:VX5E,27/09/2018 16:30:00,21.29,21.29,21.29,21.29,76,22.82,19.8
Vanguard FTSE Developed Europe UCITS ETF,LON:VEUR,27/09/2018 16:30:00,27.15,26.98,27.15,26.98,7958,28.09,20.88
Vanguard FTSE Developed Europe ex UK UCITS ETF,LON:VERX,27/09/2018 16:30:00,26.18,26.1,26.22,25.99,12663,27.13,24.23
Vanguard FTSE All-World High Dividend Yield UCITS ETF,LON:VHYL,27/09/2018 16:30:00,42.89,42.61,42.89,42.51,7122,44.33,39.17
Vanguard FTSE All-World UCITS ETF,LON:VWRL,27/09/2018 16:30:00,66.45,66.35,66.45,65.61,16129,66.45,58.19
Vanguard FTSE Developed World UCITS ETF,LON:VEVE,27/09/2018 16:30:00,49.32,,,,0,50.18,42.45
Vanguard Global Liquidity Factor UCITS ETF,LON:VLIQ,27/09/2018 16:30:00,27.13,27.04,27.13,27.04,1963,27.88,23.37
Vanguard Global Minimum Volatility UCITS ETF,LON:VMVL,27/09/2018 16:30:00,25.27,25.27,25.27,25.27,180,25.9,21.54
Vanguard Global Momentum Factor UCITS ETF,LON:VMOM,27/09/2018 16:30:00,26.89,26.85,26.93,26.78,19588,27.46,22.48
Vanguard Global Value Factor UCITS ETF,LON:VVAL,27/09/2018 16:30:00,27.34,27.23,27.34,27.17,3128,27.95,23.92
Vanguard FTSE Japan UCITS ETF,LON:VJPN,27/09/2018 16:30:00,24.56,24.37,24.56,24.35,26037,26.68,21.9
S&P 500 Index,INDEXCBOE:.INX,27/09/2018 14:21:56,2921.3,2911.65,2927.22,2909.27,0,2940.91,2495.91
Philadelphia Gold and Silver Index,INDEXNASDAQ:XAU,27/09/2018 14:36:56,64.6,64.4,64.81,63.8,0,92.94,60.59
S&P GSCI Crude Oil,INDEXSP:SPGSCL,27/09/2018 14:10:00,394.55,392.25,397.73,392.25,0,412.47,269.47
Cboe VIX Futures Indexes,INDEXCBOE:VIXJAN,27/09/2018 13:21:57,15.67,15.77,15.81,15.61,0,18.1,10.35
Cboe VIX Futures Indexes,INDEXCBOE:VIXFEB,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAR,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXAPR,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAY,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUN,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUL,17/07/2018 15:14:59,12.1,13.15,13.21,12,0,20.1,10.05
Cboe VIX Futures Indexes,INDEXCBOE:VIXAUG,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXSEP,18/09/2018 15:14:59,12.75,12.96,13.35,12.75,0,19.73,10.38
Cboe VIX Futures Indexes,INDEXCBOE:VIXOCT,27/09/2018 13:21:57,14.05,14.17,14.25,14,0,19.97,10.15
Cboe VIX Futures Indexes,INDEXCBOE:VIXNOV,27/09/2018 13:21:57,14.9,15.06,15.1,14.85,0,19.75,10.7
Cboe VIX Futures Indexes,INDEXCBOE:VIXDEC,27/09/2018 13:21:57,15.17,15.35,15.35,15.1,0,19.43,9.6
FTSE 100,INDEXFTSE:UKX,27/09/2018 16:35:29,7545.44,7511.49,7552.02,7490.94,0,7903.5,6866.94
FTSE 250,INDEXFTSE:MCX,27/09/2018 16:37:04,20374.21,20436.48,20457.84,20335.68,0,21371.54,19091.06
FTSE All-Share Index,INDEXFTSE:ASX,27/09/2018 16:45:33,4145.89,4132.82,4149.64,4123.72,0,4336.77,3799.4
FTSE SmallCap Index,INDEXFTSE:SMX,27/09/2018 16:45:33,5830.69,5828.33,5832.84,5814.65,0,6056.28,5551.56
VIX,INDEXCBOE:VIX,27/09/2018 13:21:46,12.09,12.77,13,11.94,0,50.3,8.56
CBOE Energy Sector ETF Volatility Index,INDEXCBOE:VXXLE,27/09/2018 13:21:53,16.22,16.74,16.95,16.07,0,37.62,10.54
