Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,25/09/2018 16:30:00,54.4,54.06,55,53.2,207022,62.79,41.02
1SPATIAL PLC,LON:SPA,25/09/2018 16:30:00,45,44.49,45,44.1,26776,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,25/09/2018 16:30:00,3.05,,,,0,4.47,2
3I GROUP PLC,LON:III,25/09/2018 16:35:06,956,950.4,961.2,949.8,1648371,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,25/09/2018 16:35:06,248.4,249.75,249.75,247.25,164530,249.75,193
4D PHARMA PLC,LON:DDDD,25/09/2018 16:30:00,184.5,184.89,184.89,175,6514,387,114
4IMPRINT GROUP PLC,LON:FOUR,25/09/2018 16:38:00,1980,2050,2050,1980,1232,2280,1550
600 GROUP PLC,LON:SIXH,25/09/2018 16:30:00,18.1,18.1,18.1,18.1,5586,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,25/09/2018 16:30:00,4.5,4.5,4.61,4.5,50842,7.4,3.83
888 HOLDINGS PLC,LON:888,25/09/2018 16:36:17,223.8,222.4,225,222.4,1048949,326.6,220.8
88 ENERGY LIMITED,LON:88E,25/09/2018 16:44:19,1.1,1.13,1.18,1.1,11658839,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,25/09/2018 16:30:00,1331,1330,1331,1330,159,1429,1230
ABCAM PLC,LON:ABC,25/09/2018 16:35:21,1455,1439,1460,1426,309361,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,25/09/2018 16:30:00,1265,1269,1269,1245,4342,1365,567.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,25/09/2018 16:35:23,201,203,203,201,127521,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,25/09/2018 16:35:27,1015,1025,1025,1005,19807,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,25/09/2018 16:30:00,125,124.61,125,123.5,246352,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,25/09/2018 16:30:00,532.18,542,542,532.18,4671,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,25/09/2018 16:36:19,51,51.15,51.15,51,44259,65.75,51
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,25/09/2018 16:30:00,595,595,595,595,1680,680.5,564.5
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,25/09/2018 16:31:36,60.4,60.54,60.54,60,52648,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,25/09/2018 16:35:27,221,225,225,219,82273,249,215.95
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,25/09/2018 16:30:00,432.19,434.37,436.44,429.96,61456,547,408
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,25/09/2018 16:30:00,588.75,583.88,588.75,583.88,870,596,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,25/09/2018 16:30:00,268.5,268,268.5,265.07,7670,303.9,255
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI,25/09/2018 16:30:00,109,108.38,109,107.7,154807,113.5,97.2
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL,25/09/2018 16:35:08,1340,1354,1354,1340,54177,1448.19,1240
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT,25/09/2018 16:30:00,95.6,93.15,96.6,93.15,68495,109.38,89
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ,25/09/2018 16:30:00,106.1,,,,0,110,105
ABZENA PLC,LON:ABZA,25/09/2018 16:30:00,15.66,15.66,15.66,15.6,96079,35,5.7
ACACIA MINING PLC,LON:ACA,25/09/2018 17:13:10,134.45,128.9,135.75,126.8,1490822,257.56,93.56
ACCESS INTELLIGENCE PLC,LON:ACC,25/09/2018 16:37:39,5.9,5.95,5.99,5.9,135892,5.99,3
ACCESSO TECHNOLOGY GROUP PLC,LON:ACSO,25/09/2018 16:31:36,2830,3000,3000,2830,20314,3000,1832.5
ACCROL GROUP HOLDINGS PLC,LON:ACRL,25/09/2018 16:30:00,19.5,19.13,19.99,19.13,265515,137,0.42
ACCSYS TECHNOLOGIES PLC,LON:AXS,25/09/2018 16:30:00,100.03,100.03,100.03,100.03,113,102,72
ACENCIA DEBT STRATEGIES LTD,LON:ACD,,,,,,,,
ACORN INCOME FUND LD,LON:AIF,25/09/2018 16:30:00,424.6,417.25,424.6,417.25,33530,482.9,408
ACORN INCOME FUND LD,LON:AIFZ,25/09/2018 16:30:00,150.63,150.63,150.63,150.63,3000,153,146
ACTION HOTELS PLC,LON:AHCG,25/09/2018 16:35:10,23,22.5,23,22.5,4560,38.25,15
ACTIVE ENERGY GROUP PLC,LON:AEG,25/09/2018 16:30:00,2.55,2.6,2.6,2.36,797670,5.19,2.17
ACTUAL EXPERIENCE PLC,LON:ACT,25/09/2018 16:30:00,225,225,225,225,1500,319.99,225
ADAMAS FINANCE ASIA LIMITED,LON:ADAM,25/09/2018 16:30:00,0.59,0.59,0.59,0.59,153,1.33,0.59
ADAMS PLC,LON:ADA,25/09/2018 16:30:00,1.5,1.5,1.5,1.5,200,7.96,1.5
ADEPT4 PLC ,LON:AD4,25/09/2018 16:30:00,1.7,1.7,1.7,1.7,12270,4.94,1.3
ADEPT TELECOM PLC,LON:ADT,25/09/2018 16:30:00,388,382.49,388.8,370,8320,408,256.2
ADES INTERNATIONAL HOLDING LTD,LON:ADES,25/09/2018 16:30:00,13.45,13.45,13.45,13.45,1,17.5,11.84
ADMIRAL GROUP PLC,LON:ADM,25/09/2018 16:35:04,2071,2040,2071,2040,810196,2138,1775
ADVANCED MEDICAL SOLUTIONS GROUP PLC,LON:AMS,25/09/2018 16:57:06,322,335,335,316,252865,374,281
ADVANCED ONCOTHERAPY PLC,LON:AVO,25/09/2018 16:30:00,40.05,41.2,41.5,40,47383,64.8,19
ADVFN PLC,LON:AFN,25/09/2018 16:30:00,27.95,25,27.95,25,2635,84.5,21.7
AECI LD,LON:87FZ,25/09/2018 16:30:00,55,,,,0,65.75,65.75
AEOREMA COMMUNICATIONS PLC,LON:AEO,25/09/2018 16:30:00,27.3,,,,0,34.9,23.04
AEW UK LONG LEASE REIT PLC,LON:AEWL,25/09/2018 16:30:00,95,95.89,95.89,95,67588,103.5,84.01
AEW UK REIT PLC,LON:AEWU,25/09/2018 16:30:00,95.4,95.8,95.93,95,134522,102,94
AFARAK GROUP PLC,LON:AFRK,25/09/2018 16:30:00,80.75,,,,0,100,65.5
AFC ENERGY PLC,LON:AFC,25/09/2018 16:30:00,6.94,7.09,7.09,6.64,320633,19.38,6.55
AFH FINANCIAL GROUP PLC,LON:AFHP,25/09/2018 16:30:00,401.5,405,405,401.5,2501,424,243
AFI DEVELOPMENT PLC,LON:AFRB,25/09/2018 16:30:00,0.21,0.21,0.21,0.21,468,0.35,0.15
AFRICAN BATTERY METALS PLC,LON:ABM,25/09/2018 16:30:00,2.38,2.5,2.5,2.38,80871,12.5,2.25
AFRICA OPPORTUNITY FUND LIMITED,LON:AOF,25/09/2018 16:30:00,0.71,,,,0,0.84,0.7
AFRITIN MINING LIMITED,LON:ATM,25/09/2018 16:30:00,3.5,3.29,3.59,3.2,1457006,4.39,1.93
AGGREGATED MICRO POWER HOLDINGS PLC,LON:AMPH,25/09/2018 16:30:00,100,100,100,100,2500,113.5,74.41
AGGREKO PLC,LON:AGK,25/09/2018 16:39:05,857.56,853.4,863.6,849.3,714995,994.5,636.8
AGRITERRA LD,LON:AGTA,25/09/2018 16:30:00,8,13,13,8,162141,29,8
AIB GROUP PLC,LON:AIBG,25/09/2018 16:35:29,4.6,4.69,4.69,4.58,170370,5.8,4.55
AIQ LIMITED,LON:AIQ,25/09/2018 16:30:00,30.1,,,,0,160,8.9
AIR CHINA LD,LON:AIRC,,,,,,,,
AIREA PLC,LON:AIEA,25/09/2018 16:30:00,56.55,60,60,56.55,14292,74.4,28.51
AIR PARTNER PLC,LON:AIR,25/09/2018 16:30:00,106.3,105.66,108.9,105.66,50016,156,65
"AKERS BIOSCIENCES, INC.",LON:AKR,25/09/2018 16:30:00,16.5,16.5,16.5,16.5,288,85,10.5
ALBA MINERAL RESOURCES PLC,LON:ALBA,25/09/2018 16:30:00,0.43,0.42,0.44,0.42,9735200,0.66,0.24
ALBERT TECHNOLOGIES LTD,LON:ALB,25/09/2018 16:35:19,26,26,26.1,24.6,115724,47.75,19
ALBION DEVELOPMENT VCT PLC,LON:AADV,25/09/2018 16:30:00,70.5,70.5,70.5,70.5,7813,74,67
ALBION ENTERPRISE VCT PLC,LON:AAEV,25/09/2018 16:30:00,106,,,,0,109.9,91
ALBION TECHNOLOGY & GENERAL VCT PLC,LON:AATG,25/09/2018 16:30:00,69,,,,0,72.89,65
ALBION VENTURE CAPITAL TST PLC,LON:AAVC,25/09/2018 16:30:00,71.5,71.5,71.5,71.5,3083,73.5,65.5
ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED,LON:AEFS,25/09/2018 16:35:16,99.8,100.04,100.04,99.6,414577,103,97
ALEXANDER MINING PLC,LON:AXM,25/09/2018 16:30:00,0.11,0.11,0.11,0.1,6989426,0.19,0.09
ALFA FINANCIAL SOFTWARE HOLDINGS PLC,LON:ALFA,25/09/2018 17:12:52,145,144.27,148.73,141,1234214,548,131.2
ALL ASIA ASSET CAPITAL LIMITED,LON:AAA,25/09/2018 16:30:00,2.55,,,,0,4.5,2.55
ALLERGY THERAPEUTICS PLC,LON:AGY,25/09/2018 16:30:00,24.15,24.15,24.15,24.01,17411,39.5,23
ALLIANCE PHARMA PLC,LON:APH,25/09/2018 17:13:10,69,71.4,73.2,68.04,2409054,102.5,53
ALLIANCE TRUST PLC,LON:ATST,25/09/2018 16:35:27,769,769,769.11,766,143421,791.15,686
ALLIANZ TECHNOLOGY TRUST PLC,LON:ATT,25/09/2018 16:35:15,1535,1540,1546,1535,37487,1645,1037
ALLIED MINDS PLC,LON:ALM,25/09/2018 16:35:22,77.5,76.1,78,76.1,109828,190,67.19
ALPHA FINANCIAL MARKETS CONSULTING PLC,LON:AFM,25/09/2018 16:30:00,250,255,255,250,3773,274,158
ALPHA FX GROUP PLC,LON:AFX,25/09/2018 16:30:00,625,600,640,600,219940,640,445
ALPHA GROWTH PLC,LON:ALGW,25/09/2018 16:37:24,2.2,2.17,2.5,2.11,3766450,3.35,0.76
ALPHA REAL TRUST LIMITED,LON:ARTL,25/09/2018 16:30:00,128,130,130,128,2103,141.34,118.53
ALTERNATIVE LIQUIDITY FUND LIMITED,LON:ALF,25/09/2018 16:30:00,0.15,,,,0,0.27,0.15
ALTITUDE GROUP PLC,LON:ALT,25/09/2018 16:36:10,75,86.98,86.98,73.1,1088965,107,47.38
ALTONA ENERGY PLC,LON:ANR,25/09/2018 16:30:00,0.26,0.26,0.26,0.23,259630,0.89,0.12
ALTUS STRATEGIES PLC,LON:ALS,25/09/2018 16:30:00,3.75,4,4,3.7,225000,10,3.7
ALTYN PLC,LON:ALTN,25/09/2018 16:30:00,0.71,0.85,0.85,0.71,400000,1.75,0.71
ALUMASC GROUP PLC,LON:ALU,25/09/2018 16:30:00,141.5,139.9,141.5,139.9,4993,182,115
AMATI AIM VCT PLC,LON:AMAT,25/09/2018 16:30:00,169.1,,,,0,175,144.75
AMEDEO AIR FOUR PLUS LIMITED,LON:AA4,25/09/2018 16:30:00,106.5,106.63,108.03,106.5,64335,110,103
AMEDEO RESOURCES PLC,LON:AMED,25/09/2018 16:30:00,9,9,9,9,10000,16.24,8.5
AMERISUR RESOURCES PLC,LON:AMER,25/09/2018 16:37:31,12.6,14,14.62,12.34,16883571,22.5,12.34
AMIAD WATER SYSTEMS LTD,LON:AFS,25/09/2018 16:30:00,245,245,245,245,405,276,116.9
AMIGO HOLDINGS PLC,LON:AMGO,25/09/2018 16:35:26,247,243.65,247,240,100749,314.95,200
AMINEX PLC,LON:AEX,25/09/2018 16:30:00,1.73,1.71,1.75,1.7,2657589,4.36,1.68
AMINO TECHNOLOGIES PLC,LON:AMO,25/09/2018 16:30:00,209.25,209.25,210.56,209.25,6813,220.9,173.68
AMPHION INNOVATIONS PLC,LON:AMP,25/09/2018 16:30:00,0.8,0.72,0.8,0.72,248756,2.74,0.72
AMRYT PHARMA PLC,LON:AMYT,25/09/2018 16:35:10,16.45,17.01,17.1,16.45,164771,22.25,15.6
AMUR MINERALS CORPORATION,LON:AMC,25/09/2018 16:30:00,4.4,4.17,4.4,4.15,1344151,9.4,3
ANDALAS ENERGY AND POWER PLC,LON:ADL,25/09/2018 16:30:00,1.14,1.1,1.14,1.08,959574,3.17,0.6
ANDREWS SYKES GROUP PLC,LON:ASY,25/09/2018 16:30:00,649.5,610,649.5,610,269,665,466.75
ANEXO GROUP PLC,LON:ANX,25/09/2018 16:30:00,115.75,,,,0,120,101.5
ANGLE PLC,LON:AGL,25/09/2018 16:30:00,43.5,44.5,44.5,43,114363,60.74,35
ANGLESEY MINING PLC,LON:AYM,25/09/2018 16:30:00,1.5,1.57,1.59,1.5,1245944,3.35,1.38
ANGLING DIRECT PLC,LON:ANG,25/09/2018 16:30:00,106.45,106.45,106.45,106.45,229,120.75,65.81
ANGLO AFRICAN AGRICULTURE PLC,LON:AAAP,25/09/2018 16:30:00,0.53,0.46,0.53,0.46,785550,1.04,0.26
ANGLO AFRICAN OIL & GAS PLC,LON:AAOG,25/09/2018 17:13:08,9,9.18,9.4,8.7,1205281,17.41,6.5
ANGLO AMERICAN PLC,LON:AAL,25/09/2018 16:35:26,1752.8,1741.8,1766.2,1724,4752350,1948,1280.5
