Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,28/09/2018 16:30:00,53.7,53.76,53.76,52.41,11879,62.79,41.02
1SPATIAL PLC,LON:SPA,28/09/2018 16:30:00,43.15,43.15,43.15,43.15,5000,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,28/09/2018 16:30:00,3.37,3.05,3.37,3.05,2761,4.47,2
3I GROUP PLC,LON:III,28/09/2018 16:52:49,941.2,960,961.2,939.8,2705013,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,28/09/2018 16:35:23,244,241.55,246.8,240.65,835405,249.75,193
4D PHARMA PLC,LON:DDDD,28/09/2018 16:30:00,160.5,165.98,165.98,160.5,1702,387,114
4IMPRINT GROUP PLC,LON:FOUR,28/09/2018 16:35:12,1990,2020.75,2020.75,1980,1122,2280,1550
600 GROUP PLC,LON:SIXH,28/09/2018 16:30:00,18.1,18.1,18.1,18.1,25000,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,28/09/2018 16:30:00,4.6,4.6,4.7,4.36,1674468,6.5,3.83
888 HOLDINGS PLC,LON:888,28/09/2018 16:35:23,199.3,192,203.28,192,2225094,326.6,190.2
88 ENERGY LIMITED,LON:88E,28/09/2018 16:30:00,1.15,1.18,1.21,1.15,7892970,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,28/09/2018 16:30:00,1331,1331,1331,1331,50,1429,1230
ABCAM PLC,LON:ABC,28/09/2018 17:13:17,1432,1469,1479,1422,770532,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,28/09/2018 16:30:00,1220,1255,1255,1220,4819,1365,577.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,28/09/2018 16:40:48,203,202.06,204,202.02,108362,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,28/09/2018 16:35:22,1020,1007.45,1020,1002.72,16981,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,28/09/2018 16:35:11,124.5,124.18,125,123.5,298367,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,28/09/2018 16:30:00,546.67,543.33,546.67,539.2,36605,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,28/09/2018 16:30:00,51.05,51.05,51.05,51.05,1935,65.75,50.5
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,28/09/2018 16:30:00,600.05,595.01,605,595.01,2169,680.5,564.5
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,28/09/2018 16:30:00,62,61.45,62,61.45,13847,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,28/09/2018 16:30:00,222.8,223.34,224,222,59715,249,215.95
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,28/09/2018 16:30:00,431.2,432.02,432.02,428.2,49425,547,408
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,28/09/2018 16:30:00,594,592.64,594,590,3270,596,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,28/09/2018 16:30:00,268.4,268.43,268.5,268.4,6169,303.9,255
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI,28/09/2018 16:35:02,109,109.3,109.5,108.5,185591,113.5,97.2
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL,28/09/2018 16:35:22,1332,1339.2,1339.2,1326,55006,1448.19,1240
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT,28/09/2018 16:35:02,96.4,94.31,96.4,94.31,21284,109.38,89
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ,28/09/2018 16:30:00,106.1,,,,0,110,105
ABZENA PLC,LON:ABZA,28/09/2018 16:30:00,15.61,,,,0,35,5.7
ACACIA MINING PLC,LON:ACA,28/09/2018 16:39:46,132.7,119.7,133.75,119.7,978497,257.56,93.56
ACCESS INTELLIGENCE PLC,LON:ACC,28/09/2018 16:30:00,5.96,6.1,6.1,5.9,8058,6.1,3
ACCESSO TECHNOLOGY GROUP PLC,LON:ACSO,28/09/2018 16:40:15,2906.67,2880,2930,2825,27228,3000,1880
ACCROL GROUP HOLDINGS PLC,LON:ACRL,28/09/2018 17:13:11,22.5,22.9,23.9,21,774046,136,0.42
ACCSYS TECHNOLOGIES PLC,LON:AXS,28/09/2018 16:30:00,99.87,97.43,99.87,97.43,1989,102,72
ACENCIA DEBT STRATEGIES LTD,LON:ACD,,,,,,,,
ACORN INCOME FUND LD,LON:AIF,28/09/2018 16:30:00,427.96,429.95,429.95,425.75,8240,482.9,408
ACORN INCOME FUND LD,LON:AIFZ,28/09/2018 16:30:00,150.63,,,,0,153,146
ACTION HOTELS PLC,LON:AHCG,28/09/2018 16:30:00,23.65,,,,0,38.25,15
ACTIVE ENERGY GROUP PLC,LON:AEG,28/09/2018 17:13:21,2.4,2.45,2.45,2.23,2625850,5.19,2.17
ACTUAL EXPERIENCE PLC,LON:ACT,28/09/2018 16:30:00,213.5,213.5,213.5,213.5,463,319.99,200
ADAMAS FINANCE ASIA LIMITED,LON:ADAM,28/09/2018 16:30:00,0.59,,,,0,1.33,0.59
ADAMS PLC,LON:ADA,28/09/2018 16:30:00,1.15,1.15,1.15,1.15,1500,7.96,1.15
ADEPT4 PLC ,LON:AD4,28/09/2018 16:30:00,1.7,,,,0,4.9,1.3
