Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
AMUNDI ETF MSCI EUROPE INDUSTRIALS,LON:AIND,25/09/2018 16:30:00,28100,28100,28100,28100,20,28385,25195
AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,LON:ANRJ,25/09/2018 16:30:00,25425,25230,25425,25230,19,25425,19808
AMUNDI ETF MSCI EUROPE MATERIALS,LON:C8M,25/09/2018 16:30:00,32765,,,,0,34185,29475
AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,LON:CB5,25/09/2018 16:30:00,7679,7679.52,7681.62,7679,325,8908,7341.11
AMUNDI ETF MSCI EUROPE CONSUMER DISC,LON:CD6,25/09/2018 16:30:00,18708,18708,18708,18708,34,20024,17682
AMUNDI ETF DAX UCITS ETF DR,LON:CG1,25/09/2018 16:30:00,20350,,,,0,21920,18938
AMUNDI ETF MSCI EUROPE HEALTHCARE,LON:CH5,25/09/2018 16:30:00,20780,,,,0,21300,17750
AMUNDI ETF MSCI ITALY UCITS ETF,EPA:CI1,25/09/2018 17:35:00,105.06,104,105.06,104,2,117.58,98
AMUNDI ETF MSCI SPAIN UCITS ETF,LON:CS1,25/09/2018 16:30:00,17230,,,,0,18650,16300
AMUNDI ETF MSCI EUROPE CONSUMER STP,LON:CS5,25/09/2018 16:30:00,29100,,,,0,30575,26240
AMUNDI ETF MSCI EUROPE TELECOM SERVICES,LON:CT5,25/09/2018 16:30:00,9337,,,,0,10037,8627.5
AMUNDI ETF MSCI EUROPE UTILITIES,LON:CU5,25/09/2018 16:30:00,16146,,,,0,17151,14478
AMUNDI ETF MSCI UK UCITS ETF,LON:CUK,25/09/2018 16:30:00,17176,,,,0,17626,15473
AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,LON:EPRA,25/09/2018 16:30:00,4783,,,,0,4800,4189
AMUNDI ETF EURO STOXX SMALL CAP,LON:ESM,25/09/2018 16:30:00,4109,,,,0,4280,3889.5
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR,LON:GAGG,25/09/2018 16:30:00,4089.78,,,,0,4556.8,3941
AMUNDI J.P. MORGAN GLOBAL GOVIES DR,LON:GGOV,25/09/2018 16:30:00,4250,,,,0,4599.3,3973
AMUNDI INDEX MSCI WORLD DR,LON:MWRD,25/09/2018 16:30:00,5444,,,,0,5605,4696
AMUNDI INDEX MSCI NORTH AMERICA DR,LON:NRAM,25/09/2018 16:30:00,5704,,,,0,5805.5,4696.5
AMUNDI S&P 500,LON:500G,25/09/2018 16:30:00,3931,,,,0,4020.5,3239
AMUNDI S&P 500,LON:500U,25/09/2018 16:30:00,51.84,,,,0,51.88,43.74
AMUNDI MSCI EM ASIA,LON:AASG,25/09/2018 16:30:00,2440,,,,0,2721,2391.5
AMUNDI MSCI EM ASIA,LON:AASU,25/09/2018 16:30:00,32.41,32.41,32.41,32.41,380000,38.49,31.3
AMUNDI MSCI EUROPE EX UK,LON:AEXK,25/09/2018 16:30:00,2509,,,,0,2585.5,2319.75
AMUNDI MSCI EM LATIN AMERICA,LON:ALAG,25/09/2018 16:30:00,1033.6,,,,0,1235,994.8
AMUNDI MSCI EM LATIN AMERICA,LON:ALAU,25/09/2018 16:30:00,13.77,,,,0,17.59,13.16
AMUNDI NASDAQ-100,LON:ANXG,25/09/2018 16:30:00,6286,,,,0,6538,4747.5
AMUNDI NASDAQ-100,LON:ANXU,25/09/2018 16:30:00,82.91,82.91,82.91,82.91,70000,84.27,64.02
AMUNDI MSCI EMERGING MARKETS,LON:AUEG,25/09/2018 16:30:00,347.15,346.8,347.15,346.8,75000,389.55,335.4
AMUNDI MSCI EMERGING MARKETS,LON:AUEM,25/09/2018 16:30:00,4.56,4.55,4.56,4.54,5391819,9.59,4.35
AMUNDI MSCI BRAZIL UCITS ETF,LON:BRZ,25/09/2018 16:30:00,40.26,,,,0,55.78,37.34
AMUNDI S&P 500 BUYBACK,LON:BYBG,25/09/2018 16:30:00,13148,,,,0,13222,10583.5
AMUNDI S&P 500 BUYBACK,LON:BYBU,25/09/2018 16:30:00,168.64,,,,0,172.39,142.74
AMUNDI MSCI CHINA,LON:CC1G,25/09/2018 16:30:00,23115,,,,0,26984.5,22160
AMUNDI MSCI CHINA,LON:CC1U,25/09/2018 16:30:00,303.63,303.63,303.63,303.63,12000,381.89,284.2
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9G,25/09/2018 16:30:00,26035,,,,0,29207.5,23830
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9U,25/09/2018 16:30:00,335.05,,,,0,413.5,310.58
AMUNDI MSCI EUROPE,LON:CEUR,,,,,,,,
AMUNDI MSCI INDIA,LON:CI2G,25/09/2018 16:30:00,44410,,,,0,48390,40655.5
AMUNDI MSCI INDIA,LON:CI2U,25/09/2018 16:30:00,575.9,,,,0,656.8,553.04
