Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,24/09/2018 16:30:00,54.01,54.78,54.8,54,77871,62.79,41.02
1SPATIAL PLC,LON:SPA,24/09/2018 16:30:00,44.49,41.1,44.49,41.1,23218,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,24/09/2018 16:30:00,3.05,3.37,3.37,3.05,2924,4.47,2
3I GROUP PLC,LON:III,24/09/2018 16:35:30,953.4,953.6,960.4,953.4,995771,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,24/09/2018 16:35:27,248.4,248.91,249.67,247.79,182623,249.7,192.9
4D PHARMA PLC,LON:DDDD,24/09/2018 16:30:00,184.89,189.41,189.41,176,11169,387,114
4IMPRINT GROUP PLC,LON:FOUR,24/09/2018 16:35:23,1990,2010,2030,1980,544,2280,1550
600 GROUP PLC,LON:SIXH,24/09/2018 16:30:00,18.5,18.45,18.5,18.4,27428,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,24/09/2018 16:30:00,4.62,4.72,4.72,4.55,466209,7.4,3.83
888 HOLDINGS PLC,LON:888,24/09/2018 16:35:44,224,226.4,227,223.2,496452,326.6,220.8
88 ENERGY LIMITED,LON:88E,24/09/2018 16:30:00,1.12,1.12,1.15,1.09,13176571,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,24/09/2018 16:30:00,1331,,,,0,1429,1230
ABCAM PLC,LON:ABC,24/09/2018 16:35:19,1433,1435,1458.34,1418,237267,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,24/09/2018 16:30:00,1269,1235,1270,1235,5495,1365,567.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,24/09/2018 16:35:02,201,202.2,203,201,156909,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,24/09/2018 16:35:03,1010,1025,1025,1010,15645,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,24/09/2018 16:35:26,125,124,125,123.14,269883,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,24/09/2018 16:30:00,534,535,538,534,6347,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,24/09/2018 16:34:36,51,51.15,52.5,51,45245,65.75,51
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,24/09/2018 16:30:00,590,590,590,590,1050,680.5,564.5
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,24/09/2018 16:30:00,60.4,60.04,61.2,60.04,28071,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,24/09/2018 16:36:00,222,222.03,224,221,96807,249,215.95
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,24/09/2018 16:35:11,426,433.35,437,426,88160,547,408
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,24/09/2018 16:36:32,584,588.25,590,584,14057,596,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,24/09/2018 16:30:00,268,267,270.36,266.99,32666,303.9,255
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI,24/09/2018 16:35:20,107,108.5,109,107,81623,113.5,97.2
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL,24/09/2018 16:35:17,1340,1356,1358,1340,57047,1448.19,1240
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT,24/09/2018 16:35:09,92.2,93.5,95.4,92.2,2394,109.38,89
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ,24/09/2018 16:30:00,106.1,106.1,106.1,106.1,2085,110,105
ABZENA PLC,LON:ABZA,24/09/2018 16:30:00,15.7,15.7,15.7,15.7,116580,35,5.7
ACACIA MINING PLC,LON:ACA,24/09/2018 16:35:11,128.9,125,130.01,125,1657539,257.56,93.56
ACCESS INTELLIGENCE PLC,LON:ACC,24/09/2018 16:30:00,5.8,5.7,5.8,5.6,83943,5.8,3
ACCESSO TECHNOLOGY GROUP PLC,LON:ACSO,24/09/2018 16:30:00,2902,2977.5,3000,2900,18133,3000,1830
ACCROL GROUP HOLDINGS PLC,LON:ACRL,24/09/2018 16:30:00,19.13,19.5,19.5,19.12,107237,137,0.42
ACCSYS TECHNOLOGIES PLC,LON:AXS,24/09/2018 16:30:00,100,102,102,98.8,28772,102,72
ACENCIA DEBT STRATEGIES LTD,LON:ACD,,,,,,,,
ACORN INCOME FUND LD,LON:AIF,24/09/2018 16:30:00,423.1,420.35,424.52,417.25,40369,482.9,408
ACORN INCOME FUND LD,LON:AIFZ,24/09/2018 16:30:00,150.5,150.5,150.5,150.5,3450,153,146
ACTION HOTELS PLC,LON:AHCG,24/09/2018 16:30:00,23.75,23.75,23.75,23.75,42054,38.25,15
ACTIVE ENERGY GROUP PLC,LON:AEG,24/09/2018 16:30:00,2.5,2.57,2.59,2.43,334782,5.19,2.17
ACTUAL EXPERIENCE PLC,LON:ACT,24/09/2018 16:30:00,240,,,,0,319.99,240
ADAMAS FINANCE ASIA LIMITED,LON:ADAM,24/09/2018 16:30:00,0.61,,,,0,1.33,0.6
ADAMS PLC,LON:ADA,24/09/2018 16:30:00,1.5,,,,0,0.08,0.02
ADEPT4 PLC ,LON:AD4,24/09/2018 16:30:00,1.85,1.85,1.85,1.85,16216,4.94,1.3
ADEPT TELECOM PLC,LON:ADT,24/09/2018 17:19:48,380,377.49,380,374.22,17596,408,256.2
ADES INTERNATIONAL HOLDING LTD,LON:ADES,24/09/2018 16:30:00,13.6,13.6,13.6,13.6,1,17.5,11.84
ADMIRAL GROUP PLC,LON:ADM,24/09/2018 16:35:26,2043,2040,2060.3,2038,422428,2138,1775
ADVANCED MEDICAL SOLUTIONS GROUP PLC,LON:AMS,24/09/2018 16:35:28,322.5,335,335,322,146524,374,281
ADVANCED ONCOTHERAPY PLC,LON:AVO,24/09/2018 17:20:16,41,41.4,41.4,40,83540,64.8,19
ADVFN PLC,LON:AFN,24/09/2018 16:30:00,27.95,,,,0,84.5,21.7
AECI LD,LON:87FZ,24/09/2018 16:30:00,55,,,,0,65.75,65.75
AEOREMA COMMUNICATIONS PLC,LON:AEO,24/09/2018 16:30:00,27.3,,,,0,34.9,23.04
AEW UK LONG LEASE REIT PLC,LON:AEWL,24/09/2018 16:30:00,95.2,95.2,95.9,95.2,130323,103.5,84.01
AEW UK REIT PLC,LON:AEWU,24/09/2018 16:30:00,95.06,95.38,95.38,95.01,71234,102,94
AFARAK GROUP PLC,LON:AFRK,24/09/2018 16:30:00,80.75,,,,0,100,65.5
AFC ENERGY PLC,LON:AFC,24/09/2018 16:30:00,6.99,6.85,7,6.7,399685,19.38,6.55
AFH FINANCIAL GROUP PLC,LON:AFHP,24/09/2018 16:30:00,404,400,404,400,2626,424,243
AFI DEVELOPMENT PLC,LON:AFRB,24/09/2018 16:30:00,0.22,0.2,0.22,0.2,323150,0.35,0.15
AFRICAN BATTERY METALS PLC,LON:ABM,24/09/2018 16:30:00,2.38,2.27,2.5,2.27,352696,12.5,2.25
AFRICA OPPORTUNITY FUND LIMITED,LON:AOF,24/09/2018 16:30:00,0.71,0.71,0.71,0.71,2000,0.84,0.7
AFRITIN MINING LIMITED,LON:ATM,24/09/2018 16:30:00,3.29,3.29,3.3,3.18,284501,4.39,1.93
AGGREGATED MICRO POWER HOLDINGS PLC,LON:AMPH,24/09/2018 16:30:00,110,,,,0,113.5,74.41
AGGREKO PLC,LON:AGK,24/09/2018 16:35:22,851,866,866,849.4,332214,994.5,636.8
AGRITERRA LD,LON:AGTA,24/09/2018 16:30:00,13,13,13,13,12000,29,11
AIB GROUP PLC,LON:AIBG,24/09/2018 17:20:17,4.63,4.81,4.84,4.63,162916,5.8,4.55
AIQ LIMITED,LON:AIQ,24/09/2018 16:30:00,30.1,,,,0,160,8.9
AIR CHINA LD,LON:AIRC,,,,,,,,
AIREA PLC,LON:AIEA,24/09/2018 16:30:00,55.75,58.71,61.2,55.75,50992,74.4,28.51
AIR PARTNER PLC,LON:AIR,24/09/2018 16:30:00,108.5,107.75,109.69,105,61542,156,65
"AKERS BIOSCIENCES, INC.",LON:AKR,24/09/2018 16:30:00,16.5,16.5,16.5,16.5,6,85,10.5
ALBA MINERAL RESOURCES PLC,LON:ALBA,24/09/2018 16:30:00,0.42,0.43,0.44,0.42,5108245,0.66,0.24
ALBERT TECHNOLOGIES LTD,LON:ALB,24/09/2018 16:30:00,27.99,27.16,28,26.05,45627,47.75,19
ALBION DEVELOPMENT VCT PLC,LON:AADV,24/09/2018 16:30:00,70.5,70.5,70.5,70.5,3856,74,67
ALBION ENTERPRISE VCT PLC,LON:AAEV,24/09/2018 16:30:00,106,106,106,106,3416,109.9,91
ALBION TECHNOLOGY & GENERAL VCT PLC,LON:AATG,24/09/2018 16:30:00,69,69,69,69,5253,72.89,65
ALBION VENTURE CAPITAL TST PLC,LON:AAVC,24/09/2018 16:30:00,71.5,71.5,71.5,71.5,5964,73.5,65.5
ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED,LON:AEFS,24/09/2018 16:30:00,99.8,100,100,99.65,681826,103,97
ALEXANDER MINING PLC,LON:AXM,24/09/2018 16:30:00,0.11,0.12,0.12,0.1,5982872,0.19,0.09
ALFA FINANCIAL SOFTWARE HOLDINGS PLC,LON:ALFA,24/09/2018 16:35:08,145,153.8,153.8,145,231699,548,131.2
ALL ASIA ASSET CAPITAL LIMITED,LON:AAA,24/09/2018 16:30:00,2.55,,,,0,4.5,2.55
ALLERGY THERAPEUTICS PLC,LON:AGY,24/09/2018 16:30:00,24.15,24.45,24.45,24.15,40786,39.5,23
ALLIANCE PHARMA PLC,LON:APH,24/09/2018 17:20:16,71.4,74,75.6,71.4,1168953,102.5,53
ALLIANCE TRUST PLC,LON:ATST,24/09/2018 16:42:36,767.91,772.7,772.7,766,387694,791.15,686
ALLIANZ TECHNOLOGY TRUST PLC,LON:ATT,24/09/2018 16:35:06,1530,1550,1550,1520,51112,1645,1037
ALLIED MINDS PLC,LON:ALM,24/09/2018 16:35:07,75.5,70.67,78,67.19,230340,190,67.19
ALPHA FINANCIAL MARKETS CONSULTING PLC,LON:AFM,24/09/2018 16:30:00,248.5,248.5,248.5,248.5,500,274,158
ALPHA FX GROUP PLC,LON:AFX,24/09/2018 16:30:00,557.55,557.55,557.55,557.55,362,610,445
ALPHA GROWTH PLC,LON:ALGW,24/09/2018 16:30:00,2.2,2.33,2.4,2.13,1786152,3.35,0.76
ALPHA REAL TRUST LIMITED,LON:ARTL,24/09/2018 16:30:00,130,130,130,130,38,141.34,118.53
ALTERNATIVE LIQUIDITY FUND LIMITED,LON:ALF,24/09/2018 16:30:00,0.15,,,,0,0.27,0.15
ALTITUDE GROUP PLC,LON:ALT,24/09/2018 17:20:11,93,92.65,94.5,90,134738,107,47.38
ALTONA ENERGY PLC,LON:ANR,24/09/2018 16:30:00,0.23,0.24,0.27,0.21,6988001,0.89,0.12
ALTUS STRATEGIES PLC,LON:ALS,24/09/2018 16:30:00,4.11,4.11,4.11,4.11,25000,10,4
ALTYN PLC,LON:ALTN,24/09/2018 16:30:00,0.72,0.77,0.77,0.72,27188,1.75,0.72
ALUMASC GROUP PLC,LON:ALU,24/09/2018 16:30:00,138.05,140.5,140.5,138.05,24502,182,115
AMATI AIM VCT PLC,LON:AMAT,24/09/2018 16:30:00,169.1,169.1,169.1,169.1,2110,175,144.75
AMEDEO AIR FOUR PLUS LIMITED,LON:AA4,24/09/2018 16:30:00,108.03,108.37,108.97,108.03,71501,110,103
AMEDEO RESOURCES PLC,LON:AMED,24/09/2018 16:30:00,11.2,11.2,11.2,11.2,25000,16.24,8.5
AMERISUR RESOURCES PLC,LON:AMER,24/09/2018 16:35:04,15.14,15.2,15.65,15.02,1804604,22.5,13.14
AMIAD WATER SYSTEMS LTD,LON:AFS,24/09/2018 16:30:00,245,242,245,242,603,276,116.9
AMIGO HOLDINGS PLC,LON:AMGO,24/09/2018 16:35:13,243.1,242.5,247.6,234.85,151184,314.95,200
AMINEX PLC,LON:AEX,24/09/2018 16:30:00,1.76,1.8,1.82,1.75,520241,4.36,1.68
AMINO TECHNOLOGIES PLC,LON:AMO,24/09/2018 16:30:00,209.25,208.8,210.8,208.8,42860,220.9,173.68
AMPHION INNOVATIONS PLC,LON:AMP,24/09/2018 16:30:00,0.8,0.73,0.8,0.73,1410000,2.74,0.73
AMRYT PHARMA PLC,LON:AMYT,24/09/2018 16:30:00,17.13,17.03,17.15,17,105147,22.25,15.6
AMUR MINERALS CORPORATION,LON:AMC,24/09/2018 16:30:00,4.4,4.16,4.4,4.16,542388,9.4,3
ANDALAS ENERGY AND POWER PLC,LON:ADL,24/09/2018 16:30:00,1.1,1.1,1.1,1.05,5973331,3.17,0.6
ANDREWS SYKES GROUP PLC,LON:ASY,24/09/2018 16:30:00,640,,,,0,665,466.75
ANEXO GROUP PLC,LON:ANX,24/09/2018 16:30:00,115.75,,,,0,120,101.5
ANGLE PLC,LON:AGL,24/09/2018 16:30:00,44.5,45.25,45.25,42.55,186128,60.74,35
ANGLESEY MINING PLC,LON:AYM,24/09/2018 16:30:00,1.5,1.59,1.59,1.5,80043,3.35,1.38
ANGLING DIRECT PLC,LON:ANG,24/09/2018 16:30:00,104,107,107,104,11000,120.75,65.81
ANGLO AFRICAN AGRICULTURE PLC,LON:AAAP,24/09/2018 16:30:00,0.51,0.46,0.51,0.46,586471,1.04,0.26
ANGLO AFRICAN OIL & GAS PLC,LON:AAOG,24/09/2018 16:30:00,9.18,9.9,9.9,9,2052344,17.41,6.5
ANGLO AMERICAN PLC,LON:AAL,24/09/2018 16:35:17,1736.2,1742.4,1754,1726.41,4233533,1948,1280.5
ANGLO ASIAN MINING PLC,LON:AAZ,24/09/2018 17:20:08,63.5,61.56,68.75,61.56,704883,68.75,26.7
ANGLO-EASTERN PLANTATIONS PLC,LON:AEP,24/09/2018 16:30:00,600,614,622,580,21170,886,580
ANGLO PACIFIC GROUP PLC,LON:APF,24/09/2018 16:36:45,154,154.12,157,150.45,146641,168,122.41
ANGUS ENERGY PLC,LON:ANGS,24/09/2018 17:20:23,8.63,8.67,9.18,8.4,11477430,38,4.41
ANIMALCARE GROUP PLC,LON:ANCR,24/09/2018 16:30:00,219.9,211,219.9,210,12367,372.5,150
ANPARIO PLC,LON:ANP,24/09/2018 16:30:00,495.56,493,495.56,493,6692,510,376.55
ANTOFAGASTA PLC,LON:70GD,15/03/2017 12:09:35,75,,,,0,,
ANTOFAGASTA PLC,LON:ANTO,24/09/2018 16:35:26,872,884.4,889.4,865.2,3477651,1171.5,11.12
AORTECH INTERNATIONAL PLC,LON:AOR,24/09/2018 16:30:00,76.55,78.65,78.65,76.55,4713,98.1,16.63
AO WORLD PLC,LON:AO.,,,,,,,,
APAX GLOBAL ALPHA LIMITED,LON:APAX,24/09/2018 16:30:00,136,136.5,137.38,135,114561,155,128.34
APC TECHNOLOGY GROUP PLC,LON:APC,24/09/2018 16:30:00,7.25,7.15,7.42,7.15,244490,8.5,5.6
APPLEGREEN PLC,LON:APGN,24/09/2018 16:30:00,542,,,,0,580,473.5
APPLIED GRAPHENE MATERIALS PLC,LON:AGM,24/09/2018 16:30:00,42.7,42.65,44,42.65,39074,100,35
APPSCATTER GROUP PLC,LON:APPS,24/09/2018 16:35:06,29.8,31.15,31.15,29.8,105704,95,29.8
APQ GLOBAL LIMITED,LON:APQ,24/09/2018 16:30:00,83,83,83,83,226,105.75,83
AQUILA SERVICES GROUP PLC,LON:AQSG,24/09/2018 16:30:00,42,,,,0,44.9,36.5
AQUIS EXCHANGE PLC,LON:AQX,24/09/2018 16:30:00,435,,,,0,475,330
ARBUTHNOT BANKING GROUP PLC,LON:ARBB,24/09/2018 16:30:00,1470,1525,1545,1470,1322,1650,1260
ARC MINERALS LIMITED,LON:ARCM,24/09/2018 17:20:14,4.18,4.22,4.24,3.93,3769655,5.77,2
ARCONTECH GROUP PLC,LON:ARC,24/09/2018 16:30:00,140,142.7,142.7,140,1439,164.95,57
ARDEN PARTNERS PLC,LON:ARDN,24/09/2018 16:30:00,35.25,,,,0,55.7,34.51
ARENA EVENTS GROUP PLC,LON:ARE,24/09/2018 16:30:00,69,69.98,69.98,69,114789,74,47.65
ARGO BLOCKCHAIN PLC,LON:ARB,24/09/2018 17:20:22,8.73,9.17,9.17,8.73,266112,17.4,8.5
