Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
AMUNDI ETF MSCI EUROPE INDUSTRIALS,LON:AIND,05/10/2018 16:30:00,28100,,,,0,28385,25195
AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,LON:ANRJ,05/10/2018 16:30:00,25460,,,,0,25460,19838
AMUNDI ETF MSCI EUROPE MATERIALS,LON:C8M,05/10/2018 16:30:00,32765,,,,0,34185,29475
AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,LON:CB5,05/10/2018 16:30:00,7350,,,,0,8908,7272
AMUNDI ETF MSCI EUROPE CONSUMER DISC,LON:CD6,05/10/2018 16:30:00,17992,17992,17992,17992,10,20024,17682
AMUNDI ETF DAX UCITS ETF DR,LON:CG1,05/10/2018 16:30:00,19943.4,,,,0,21920,18938
AMUNDI ETF MSCI EUROPE HEALTHCARE,LON:CH5,05/10/2018 16:30:00,20570,20570,20570,20570,10,21300,17750
AMUNDI ETF MSCI ITALY UCITS ETF,EPA:CI1,05/10/2018 17:35:00,98.93,99.78,99.78,98.93,2,117.58,98
AMUNDI ETF MSCI SPAIN UCITS ETF,LON:CS1,05/10/2018 16:30:00,16510,16510,16510,16510,30,18650,16300
AMUNDI ETF MSCI EUROPE CONSUMER STP,LON:CS5,05/10/2018 16:30:00,29100,,,,0,30575,26240
AMUNDI ETF MSCI EUROPE TELECOM SERVICES,LON:CT5,05/10/2018 16:30:00,9337,,,,0,10037,8627.5
AMUNDI ETF MSCI EUROPE UTILITIES,LON:CU5,05/10/2018 16:30:00,16146,,,,0,17151,14478
AMUNDI ETF MSCI UK UCITS ETF,LON:CUK,05/10/2018 16:30:00,17272,,,,0,17626,15473
AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,LON:EPRA,05/10/2018 16:30:00,4783,,,,0,4800,4189
AMUNDI ETF EURO STOXX SMALL CAP,LON:ESM,05/10/2018 16:30:00,4036.5,,,,0,4280,3889.5
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR,LON:GAGG,05/10/2018 16:30:00,4138,,,,0,4556.8,3941
AMUNDI J.P. MORGAN GLOBAL GOVIES DR,LON:GGOV,05/10/2018 16:30:00,4161,,,,0,4599.3,3973
AMUNDI INDEX MSCI WORLD DR,LON:MWRD,05/10/2018 16:30:00,5444,,,,0,5605,4696
AMUNDI INDEX MSCI NORTH AMERICA DR,LON:NRAM,05/10/2018 16:30:00,5704,,,,0,5805.5,4696.5
AMUNDI S&P 500,LON:500G,05/10/2018 16:30:00,3964,3964,3964,3964,4719,4020.5,3239
AMUNDI S&P 500,LON:500U,05/10/2018 16:30:00,52.31,,,,0,52.37,44.63
AMUNDI MSCI EM ASIA,LON:AASG,05/10/2018 16:30:00,2500,,,,0,2721,2416
AMUNDI MSCI EM ASIA,LON:AASU,05/10/2018 16:30:00,30.71,30.87,30.87,30.71,28200,38.49,30.71
AMUNDI MSCI EUROPE EX UK,LON:AEXK,05/10/2018 16:30:00,2528.88,,,,0,2585.5,2319.75
AMUNDI MSCI EM LATIN AMERICA,LON:ALAG,05/10/2018 16:30:00,1033.6,,,,0,1235,994.8
AMUNDI MSCI EM LATIN AMERICA,LON:ALAU,05/10/2018 16:30:00,13.77,,,,0,17.59,13.16
AMUNDI NASDAQ-100,LON:ANXG,05/10/2018 16:30:00,6285,6285,6285,6285,3719,6538,4912.16
AMUNDI NASDAQ-100,LON:ANXU,05/10/2018 16:30:00,83.31,,,,0,84.48,65.49
AMUNDI MSCI EMERGING MARKETS,LON:AUEG,05/10/2018 16:30:00,332.5,336.7,336.7,332.5,555096,389.55,332.5
AMUNDI MSCI EMERGING MARKETS,LON:AUEM,05/10/2018 16:30:00,4.35,4.43,4.43,4.35,6214963,9.59,4.35
AMUNDI MSCI BRAZIL UCITS ETF,LON:BRZ,05/10/2018 16:30:00,44.98,44.98,44.98,44.98,1000,55.78,37.34
AMUNDI S&P 500 BUYBACK,LON:BYBG,05/10/2018 16:30:00,13148,,,,0,13222,10810
AMUNDI S&P 500 BUYBACK,LON:BYBU,05/10/2018 16:30:00,168.64,,,,0,172.39,145.29
AMUNDI MSCI CHINA,LON:CC1G,05/10/2018 16:30:00,23850,,,,0,26984.5,22160
AMUNDI MSCI CHINA,LON:CC1U,05/10/2018 16:30:00,303.74,,,,0,381.89,284.2
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9G,05/10/2018 16:30:00,26060,,,,0,29207.5,23830
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9U,05/10/2018 16:30:00,335.05,,,,0,413.5,310.58
AMUNDI MSCI EUROPE,LON:CEUR,05/10/2018 16:30:00,19546,,,,0,19964,17763
AMUNDI MSCI INDIA,LON:CI2G,05/10/2018 16:30:00,40560,,,,0,48390,40560
AMUNDI MSCI INDIA,LON:CI2U,05/10/2018 16:30:00,575.9,,,,0,656.8,560.1
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1G,05/10/2018 16:30:00,16792,,,,0,17669,15589
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1U,05/10/2018 16:30:00,217.65,,,,0,244.54,210.63
AMUNDI INDEX MSCI EMU DR,LON:CMU,05/10/2018 16:30:00,17396,17396,17396,17396,1000,18548,16640
AMUNDI MSCI NORDIC,LON:CN1,05/10/2018 16:30:00,33355,,,,0,33630.25,29885
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9G,05/10/2018 16:30:00,43995,,,,0,46080,41332.5
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9U,05/10/2018 16:30:00,568.57,,,,0,635.17,567.31
AMUNDI MSCI SWITZERLAND,LON:CSWG,05/10/2018 16:30:00,23150,23150,23150,23150,860,23770,20675
AMUNDI MSCI SWITZERLAND,LON:CSWU,05/10/2018 16:30:00,310.7,,,,0,329.04,282.4
AMUNDI MSCI USA,LON:CU2G,05/10/2018 16:30:00,26670,26670,26670,26670,719,27237.5,21965
AMUNDI MSCI USA,LON:CU2U,05/10/2018 16:30:00,347.75,,,,0,354.23,302.37
AMUNDI MSCI WORLD,LON:CW8G,05/10/2018 16:30:00,23710,,,,0,23710,20558
AMUNDI MSCI WORLD,LON:CW8U,05/10/2018 16:30:00,310.53,,,,0,319.8,286.16
AMUNDI MSCI WORLD ENERGY,LON:CWEG,05/10/2018 16:30:00,27315,,,,0,27315,21715
AMUNDI MSCI WORLD ENERGY,LON:CWEU,05/10/2018 16:30:00,355.2,,,,0,362.9,302.18
AMUNDI MSCI WORLD FINANCIALS,LON:CWFG,05/10/2018 16:30:00,14346,,,,0,14816,13197
AMUNDI MSCI WORLD FINANCIALS,LON:CWFU,05/10/2018 16:30:00,182.5,,,,0,207.05,179.57
