Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
Vanguard FTSE 100 UCITS ETF,LON:VUKE,01/10/2018 16:35:00,33.24,33.17,33.35,33.1,141766,34.51,30.49
Vanguard FTSE North America UCITS ETF,LON:VNRT,01/10/2018 16:30:00,55.31,55.36,55.36,55.29,3162,56.05,45.35
Vanguard FTSE 250 UCITS ETF,LON:VMID,01/10/2018 16:30:00,32.44,32.12,32.52,32.12,80935,33.36,30.27
Vanguard S&P 500 UCITS ETF,LON:VUSA,01/10/2018 16:30:00,42.67,42.63,42.7,42.4,159688,42.7,34.63
Vanguard FTSE Emerging Markets UCITS ETF,LON:VFEM,01/10/2018 16:30:00,42.89,43,43.12,42.81,26579,48.57,41.35
Vanguard DAX UCITS ETF,LON:VDXX,01/10/2018 16:30:00,21.6,21.6,21.6,21.6,348,22.58,21.06
Vanguard Euro Stoxx 50 UCITS ETF,LON:VX5E,01/10/2018 16:30:00,20.98,21.07,21.07,20.98,10336,22.82,19.8
Vanguard FTSE Developed Europe UCITS ETF,LON:VEUR,01/10/2018 16:30:00,26.9,26.93,27,26.88,8518,28.09,20.88
Vanguard FTSE Developed Europe ex UK UCITS ETF,LON:VERX,01/10/2018 16:30:00,25.91,26,26.04,25.87,27791,27.13,24.23
Vanguard FTSE All-World High Dividend Yield UCITS ETF,LON:VHYL,01/10/2018 16:30:00,42.85,43.04,43.04,42.69,10341,44.33,39.17
Vanguard FTSE All-World UCITS ETF,LON:VWRL,01/10/2018 16:30:00,66.6,67.07,67.07,66.37,17843,67.07,58.19
Vanguard FTSE Developed World UCITS ETF,LON:VEVE,01/10/2018 16:30:00,49.45,49.42,49.58,49.42,2444,50.18,42.45
Vanguard Global Liquidity Factor UCITS ETF,LON:VLIQ,01/10/2018 16:30:00,27.29,27.35,27.35,27.29,115,27.88,23.37
Vanguard Global Minimum Volatility UCITS ETF,LON:VMVL,01/10/2018 16:30:00,25.46,25.52,25.52,25.46,2145,25.9,21.54
Vanguard Global Momentum Factor UCITS ETF,LON:VMOM,01/10/2018 16:30:00,27.04,27.09,27.09,27.04,1462,27.46,22.66
Vanguard Global Value Factor UCITS ETF,LON:VVAL,01/10/2018 16:30:00,27.34,27.43,27.43,27.29,3440,27.95,23.92
Vanguard FTSE Japan UCITS ETF,LON:VJPN,01/10/2018 16:35:08,24.8,24.55,24.8,24.55,37332,26.68,21.9
S&P 500 Index,INDEXCBOE:.INX,01/10/2018 15:49:46,2922.15,2926.29,2937.06,2917.91,0,2940.91,2507.99
Philadelphia Gold and Silver Index,INDEXNASDAQ:XAU,01/10/2018 16:04:49,65.14,65.09,65.54,64.82,0,92.94,60.59
S&P GSCI Crude Oil,INDEXSP:SPGSCL,01/10/2018 15:30:15,412.69,401.46,412.69,399.87,0,412.69,269.47
Cboe VIX Futures Indexes,INDEXCBOE:VIXJAN,01/10/2018 14:49:40,15.66,15.5,15.77,15.45,0,18.1,10.35
Cboe VIX Futures Indexes,INDEXCBOE:VIXFEB,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAR,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXAPR,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAY,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUN,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUL,17/07/2018 15:14:59,12.1,13.15,13.21,12,0,20.1,10.05
Cboe VIX Futures Indexes,INDEXCBOE:VIXAUG,,,,,,,,
Cboe VIX Futures Indexes,INDEXCBOE:VIXSEP,18/09/2018 15:14:59,12.75,12.96,13.35,12.75,0,19.73,10.38
