Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,05/10/2018 17:09:45,50.5,48.25,51,47.25,454360,62.79,41.02
1SPATIAL PLC,LON:SPA,05/10/2018 16:30:00,42.7,42.6,42.7,42.6,508,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,05/10/2018 16:30:00,3.05,3.36,3.36,3.05,20711,4.47,2
3I GROUP PLC,LON:III,05/10/2018 16:37:29,923,942.4,942.4,922.6,1370504,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,05/10/2018 16:35:24,247,249.6,249.6,247,181795,249.75,195.2
4D PHARMA PLC,LON:DDDD,05/10/2018 16:30:00,155.5,,,,0,387,114
4IMPRINT GROUP PLC,LON:FOUR,05/10/2018 16:35:13,2020,2070,2080,2020,6897,2280,1550
600 GROUP PLC,LON:SIXH,05/10/2018 16:30:00,18,,,,0,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,05/10/2018 16:30:00,4.14,4.14,4.14,4.14,11413,6.17,3.83
888 HOLDINGS PLC,LON:888,05/10/2018 16:38:26,194,192,196.1,191.9,1184997,326.6,190.2
88 ENERGY LIMITED,LON:88E,05/10/2018 17:10:15,1.05,1.08,1.08,0.97,24632803,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,05/10/2018 16:30:00,1320.8,1320.8,1320.8,1320.8,75,1429,1230
ABCAM PLC,LON:ABC,05/10/2018 16:35:15,1351,1410,1410,1342,568853,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,05/10/2018 16:37:31,1445,1407.75,1450,1390,10081,1520,591.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,05/10/2018 16:38:52,198,198.24,199,197.05,169165,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,05/10/2018 16:35:22,970,988,989,970,26812,1085,970
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,05/10/2018 16:35:18,124,123.66,124,123,210439,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,05/10/2018 16:30:00,526,530,530,523.5,27304,660,523.5
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,05/10/2018 16:30:00,50.5,51.49,51.49,50.5,12232,65.75,50.5
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,05/10/2018 16:30:00,615,600,615,600,1498,680.5,565
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,05/10/2018 16:31:32,64,63.8,65,63.6,30421,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,05/10/2018 16:30:00,213,215,215.75,213,24693,249,213
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,05/10/2018 16:30:00,392,408.5,411,392,91575,547,392
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,05/10/2018 16:30:00,571.62,578,578,571.62,6329,597.5,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,05/10/2018 16:30:00,266,266.3,266.3,262,24674,303.9,255
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI,05/10/2018 16:35:06,106.5,107.5,107.8,106,222419,113.5,97.2
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL,05/10/2018 16:35:14,1312,1322.88,1326,1310.8,73167,1448.19,1240
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT,05/10/2018 16:30:00,91.4,92.32,94,91.4,71789,109.38,89
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ,05/10/2018 16:30:00,106.05,106.05,106.05,106.05,7336,110,105
ABZENA PLC,LON:ABZA,05/10/2018 16:30:00,15.68,15.68,15.68,15.68,6830,34.5,5.7
ACACIA MINING PLC,LON:ACA,05/10/2018 16:35:23,144.25,145.25,146.05,139.82,770608,257.56,93.56
ACCESS INTELLIGENCE PLC,LON:ACC,05/10/2018 16:30:00,6.5,6.5,6.5,6.5,9755,6.5,3
