Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,26/09/2018 16:30:00,53,55,55.75,52.12,240372,62.79,41.02
1SPATIAL PLC,LON:SPA,26/09/2018 16:30:00,45.5,45,45.5,45,9426,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,26/09/2018 16:30:00,3.37,3.37,3.37,3.37,2838,4.47,2
3I GROUP PLC,LON:III,26/09/2018 16:35:27,952.6,953.8,956.6,944.8,1791084,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,26/09/2018 16:36:55,245.1,248.4,248.4,244.85,400352,249.75,193
4D PHARMA PLC,LON:DDDD,26/09/2018 16:30:00,175,182.89,182.89,175,1239,387,114
4IMPRINT GROUP PLC,LON:FOUR,26/09/2018 16:36:22,2000,1985,2020,1980,10963,2280,1550
600 GROUP PLC,LON:SIXH,26/09/2018 16:30:00,18.1,18.4,18.4,18.1,2373,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,26/09/2018 16:30:00,4.59,4.6,4.6,4.59,92459,7.4,3.83
888 HOLDINGS PLC,LON:888,26/09/2018 16:35:04,224.8,224,226.2,223.52,453448,326.6,220.8
88 ENERGY LIMITED,LON:88E,26/09/2018 17:06:50,1.13,1.12,1.15,1.06,10107310,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,26/09/2018 16:30:00,1331,1331,1331,1331,50,1429,1230
ABCAM PLC,LON:ABC,26/09/2018 16:35:50,1455,1463,1463,1443,645454,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,26/09/2018 16:35:23,1280,1269,1280,1243.3,5277,1365,575
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,26/09/2018 16:35:14,202,202.58,203,201.3,217769,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,26/09/2018 16:30:00,1010.44,1008.2,1025,1005,45768,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,26/09/2018 16:30:00,124.5,124.47,125,123.5,218215,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,26/09/2018 16:30:00,538,535,538,534.24,2307,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,26/09/2018 16:35:10,51,51.13,51.13,50.5,715475,65.75,50.5
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,26/09/2018 16:30:00,600,592,600,592,3137,680.5,564.5
