Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
AMUNDI ETF MSCI EUROPE INDUSTRIALS,LON:AIND,27/09/2018 16:30:00,28100,,,,0,28385,25195
AMUNDI ETF MSCI EUROPE ENERGY UCITS ETF,LON:ANRJ,27/09/2018 16:30:00,25425,,,,0,25425,19808
AMUNDI ETF MSCI EUROPE MATERIALS,LON:C8M,27/09/2018 16:30:00,32765,,,,0,34185,29475
AMUNDI ETF MSCI EUROPE BANKS UCITS ETF,LON:CB5,,,,,,,,
AMUNDI ETF MSCI EUROPE CONSUMER DISC,LON:CD6,27/09/2018 16:30:00,18708,,,,0,20024,17682
AMUNDI ETF DAX UCITS ETF DR,LON:CG1,27/09/2018 16:30:00,20196.4,20196.4,20196.4,20196.4,180,21920,18938
AMUNDI ETF MSCI EUROPE HEALTHCARE,LON:CH5,27/09/2018 16:30:00,20780,,,,0,21300,17750
AMUNDI ETF MSCI ITALY UCITS ETF,EPA:CI1,27/09/2018 17:35:00,104.38,104.1,104.38,104.1,10,117.58,98
AMUNDI ETF MSCI SPAIN UCITS ETF,LON:CS1,27/09/2018 16:30:00,17008,17008,17008,17008,94,18650,16300
AMUNDI ETF MSCI EUROPE CONSUMER STP,LON:CS5,27/09/2018 16:30:00,29100,,,,0,30575,26240
AMUNDI ETF MSCI EUROPE TELECOM SERVICES,LON:CT5,27/09/2018 16:30:00,9337,,,,0,10037,8627.5
AMUNDI ETF MSCI EUROPE UTILITIES,LON:CU5,27/09/2018 16:30:00,16146,,,,0,17151,14478
AMUNDI ETF MSCI UK UCITS ETF,LON:CUK,27/09/2018 16:30:00,17176,,,,0,17626,15473
AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,LON:EPRA,27/09/2018 16:30:00,4783,,,,0,4800,4189
AMUNDI ETF EURO STOXX SMALL CAP,LON:ESM,,,,,,,,
AMUNDI INDEX BARCLAYS GLOBAL AGG 500M DR,LON:GAGG,27/09/2018 16:30:00,4089.78,,,,0,4556.8,3941
AMUNDI J.P. MORGAN GLOBAL GOVIES DR,LON:GGOV,27/09/2018 16:30:00,4250,,,,0,4599.3,3973
AMUNDI INDEX MSCI WORLD DR,LON:MWRD,27/09/2018 16:30:00,5444,,,,0,5605,4696
AMUNDI INDEX MSCI NORTH AMERICA DR,LON:NRAM,,,,,,,,
AMUNDI S&P 500,LON:500G,27/09/2018 16:30:00,3931,,,,0,4020.5,3239
AMUNDI S&P 500,LON:500U,27/09/2018 16:30:00,52.14,52.14,52.14,52.14,367,52.35,43.83
AMUNDI MSCI EM ASIA,LON:AASG,27/09/2018 16:30:00,2500,2500,2500,2500,2063,2721,2391.5
AMUNDI MSCI EM ASIA,LON:AASU,27/09/2018 16:30:00,32.56,32.56,32.56,32.56,750000,38.49,31.3
AMUNDI MSCI EUROPE EX UK,LON:AEXK,27/09/2018 16:30:00,2509,,,,0,2585.5,2319.75
AMUNDI MSCI EM LATIN AMERICA,LON:ALAG,27/09/2018 16:30:00,1033.6,,,,0,1235,994.8
AMUNDI MSCI EM LATIN AMERICA,LON:ALAU,27/09/2018 16:30:00,13.77,,,,0,17.59,13.16
AMUNDI NASDAQ-100,LON:ANXG,27/09/2018 16:30:00,6286,,,,0,6538,4805.5
AMUNDI NASDAQ-100,LON:ANXU,27/09/2018 16:30:00,83.98,83.39,83.98,83.39,386,84.27,64.53
AMUNDI MSCI EMERGING MARKETS,LON:AUEG,27/09/2018 16:30:00,351.3,351.3,351.3,351.3,54,389.55,335.4
AMUNDI MSCI EMERGING MARKETS,LON:AUEM,27/09/2018 16:30:00,4.6,4.59,4.6,4.58,1054823,9.59,4.35
AMUNDI MSCI BRAZIL UCITS ETF,LON:BRZ,27/09/2018 16:30:00,40.34,,,,0,55.78,37.34
AMUNDI S&P 500 BUYBACK,LON:BYBG,27/09/2018 16:30:00,13148,,,,0,13222,10692.5
AMUNDI S&P 500 BUYBACK,LON:BYBU,27/09/2018 16:30:00,168.64,,,,0,172.39,143.52
AMUNDI MSCI CHINA,LON:CC1G,27/09/2018 16:30:00,23115,,,,0,26984.5,22160
AMUNDI MSCI CHINA,LON:CC1U,27/09/2018 16:30:00,303.74,,,,0,381.89,284.2
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9G,27/09/2018 16:30:00,26060,,,,0,29207.5,23830
AMUNDI MSCI EASTERN EUROPE EX RUSSIA,LON:CE9U,27/09/2018 16:30:00,335.05,,,,0,413.5,310.58
AMUNDI MSCI EUROPE,LON:CEUR,27/09/2018 16:35:01,19706,19706,19706,19706,117,19964,17763
AMUNDI MSCI INDIA,LON:CI2G,27/09/2018 16:30:00,44410,,,,0,48390,40655.5
AMUNDI MSCI INDIA,LON:CI2U,27/09/2018 16:30:00,575.9,,,,0,656.8,553.04
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1G,27/09/2018 16:30:00,16792,,,,0,17626,15578
AMUNDI INDEX MSCI JAPAN DR,LON:CJ1U,27/09/2018 16:30:00,217.65,,,,0,244.54,208.88
AMUNDI INDEX MSCI EMU DR,LON:CMU,,,,,,,,
AMUNDI MSCI NORDIC,LON:CN1,27/09/2018 16:30:00,32735,,,,0,33630.25,29885
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9G,27/09/2018 16:30:00,43995,,,,0,46080,41332.5
AMUNDI INDEX MSCI PACIFIC EX JAPAN DR,LON:CP9U,27/09/2018 16:30:00,568.57,,,,0,635.17,567.27
AMUNDI MSCI SWITZERLAND,LON:CSWG,27/09/2018 16:30:00,23485,,,,0,23770,20675
AMUNDI MSCI SWITZERLAND,LON:CSWU,27/09/2018 16:30:00,310.7,,,,0,329.04,282.4
AMUNDI MSCI USA,LON:CU2G,27/09/2018 16:30:00,26610,,,,0,27237.5,21965
AMUNDI MSCI USA,LON:CU2U,27/09/2018 16:30:00,347.75,,,,0,354.23,297.02
AMUNDI MSCI WORLD,LON:CW8G,27/09/2018 16:30:00,23710,,,,0,23710,20558
AMUNDI MSCI WORLD,LON:CW8U,27/09/2018 16:30:00,310.53,,,,0,319.8,282.32
AMUNDI MSCI WORLD ENERGY,LON:CWEG,27/09/2018 16:30:00,26615,,,,0,27232.5,21715
AMUNDI MSCI WORLD ENERGY,LON:CWEU,27/09/2018 16:30:00,348.4,,,,0,362.9,302.18
AMUNDI MSCI WORLD FINANCIALS,LON:CWFG,27/09/2018 16:30:00,14346,,,,0,14816,13197
AMUNDI MSCI WORLD FINANCIALS,LON:CWFU,27/09/2018 16:30:00,182.5,,,,0,207.05,179.57
AMUNDI FTSE EPRA EUROPE REAL ESTATE,LON:EPRE,27/09/2018 16:30:00,33965,,,,0,33965,29205
