Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
Vanguard FTSE 100 UCITS ETF,LON:VUKE,24/09/2018 16:35:17,33.46,33.46,33.6,33.42,419054,34.51,30.49
Vanguard FTSE North America UCITS ETF,LON:VNRT,24/09/2018 16:30:00,55,55.04,55.04,55,1000,56.05,45.35
Vanguard FTSE 250 UCITS ETF,LON:VMID,24/09/2018 16:35:16,32.74,32.89,32.92,32.72,8408,33.36,30.27
Vanguard S&P 500 UCITS ETF,LON:VUSA,24/09/2018 16:35:05,42.32,42.51,42.53,42.23,146896,42.53,34.63
Vanguard FTSE Emerging Markets UCITS ETF,LON:VFEM,24/09/2018 16:30:00,42.85,42.95,43.01,42.77,12944,48.57,41.35
Vanguard DAX UCITS ETF,LON:VDXX,24/09/2018 16:30:00,21.88,21.93,21.93,21.88,2332,22.58,21.06
Vanguard Euro Stoxx 50 UCITS ETF,LON:VX5E,24/09/2018 16:30:00,21.2,21.24,21.24,21.2,499,22.82,19.8
Vanguard FTSE Developed Europe UCITS ETF,LON:VEUR,24/09/2018 16:30:00,27.16,27.25,27.25,27.14,13089,28.09,20.88
Vanguard FTSE Developed Europe ex UK UCITS ETF,LON:VERX,24/09/2018 16:35:02,26.18,26.3,26.32,26.18,24924,27.13,24.23
Vanguard FTSE All-World High Dividend Yield UCITS ETF,LON:VHYL,24/09/2018 16:30:00,43.04,43.21,43.23,43.04,4397,44.33,39.17
Vanguard FTSE All-World UCITS ETF,LON:VWRL,24/09/2018 16:30:00,66.31,66.76,66.76,66.3,14348,66.76,58.19
Vanguard FTSE Developed World UCITS ETF,LON:VEVE,24/09/2018 16:30:00,49.34,49.36,49.46,49.33,333,50.18,42.45
Vanguard Global Liquidity Factor UCITS ETF,LON:VLIQ,24/09/2018 16:30:00,27.13,27.26,27.26,27.13,1157,27.88,23.37
Vanguard Global Minimum Volatility UCITS ETF,LON:VMVL,24/09/2018 16:30:00,25.15,25.15,25.15,25.15,494,25.9,21.54
Vanguard Global Momentum Factor UCITS ETF,LON:VMOM,24/09/2018 16:30:00,26.65,26.68,26.68,26.65,1697,27.46,22.24
Vanguard Global Value Factor UCITS ETF,LON:VVAL,24/09/2018 16:30:00,27.43,27.6,27.63,27.43,10512,27.95,23.92
Vanguard FTSE Japan UCITS ETF,LON:VJPN,24/09/2018 16:30:00,24.26,24.3,24.34,24.2,35808,26.68,21.68
S&P 500 Index,INDEXCBOE:.INX,24/09/2018 16:17:02,2919.37,2921.83,2923.79,2912.63,0,2940.91,2488.03
Philadelphia Gold and Silver Index,INDEXNASDAQ:XAU,24/09/2018 16:31:57,66.29,66.52,67.85,66.26,0,92.94,60.59
S&P GSCI Crude Oil,INDEXSP:SPGSCL,24/09/2018 15:24:27,395.05,387.92,398.61,387.92,0,412.47,269.47
Cboe VIX Futures Indexes,INDEXCBOE:VIXJAN,24/09/2018 15:14:55,15.65,15.9,15.98,15.6,0,18.1,10.35
Cboe VIX Futures Indexes,INDEXCBOE:VIXFEB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXAPR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXMAY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXJUL,17/07/2018 15:14:59,12.1,13.15,13.21,12,0,20.1,10.05
Cboe VIX Futures Indexes,INDEXCBOE:VIXAUG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cboe VIX Futures Indexes,INDEXCBOE:VIXSEP,18/09/2018 15:14:59,12.75,12.96,13.35,12.75,0,19.73,10.38
Cboe VIX Futures Indexes,INDEXCBOE:VIXOCT,24/09/2018 15:14:55,14.03,14.15,14.46,14,0,19.97,10.15
Cboe VIX Futures Indexes,INDEXCBOE:VIXNOV,24/09/2018 15:14:55,14.95,15.1,15.27,14.9,0,19.75,10.7
Cboe VIX Futures Indexes,INDEXCBOE:VIXDEC,24/09/2018 15:14:55,15.15,15.37,15.52,15.15,0,19.43,9.6
FTSE 100,INDEXFTSE:UKX,24/09/2018 16:35:30,7458.41,7490.23,7491.25,7450.53,0,7903.5,6866.94
FTSE 250,INDEXFTSE:MCX,24/09/2018 16:35:30,20488.07,20590.36,20606.15,20486.83,0,21371.54,19091.06
FTSE All-Share Index,INDEXFTSE:ASX,24/09/2018 16:35:30,4110.71,4128.59,4128.99,4107.47,0,4336.77,3799.4
FTSE SmallCap Index,INDEXFTSE:SMX,24/09/2018 16:35:30,5816.73,5836.1,5842.94,5816.73,0,6056.28,5551.56
VIX,INDEXCBOE:VIX,24/09/2018 15:14:45,12.2,12.46,12.92,12.18,0,50.3,8.56
CBOE Energy Sector ETF Volatility Index,INDEXCBOE:VXXLE,24/09/2018 14:59:58,16.52,16.05,17.2,14.21,0,37.62,10.54
CBOE NASDAQ Volatil Idx,INDEXCBOE:VXN,24/09/2018 15:14:57,17.25,16.74,19.05,16.74,0,38.18,11.67
Cboe Gold ETF Volatility Index,INDEXCBOE:GVZ,24/09/2018 15:14:57,10.97,10.76,11.08,10.76,0,40.16,7.29
CBOE Silver ETF Volatility Index,INDEXCBOE:VXSLV,24/09/2018 14:59:58,19.82,20.32,20.54,19.67,0,21.96,15.66
CBOE Gold Miners ETF Volatility Index,INDEXCBOE:VXGDX,24/09/2018 14:59:58,27.25,27.53,44.57,26.68,0,58.87,10.06
CBOE/NYMEX WTI Volatility Index,INDEXCBOE:OIV,24/09/2018 13:29:56,26.8,27.01,27.51,26.8,0,32.46,17.36
CBOE Crude Oil Volatility Index,INDEXCBOE:OVX,24/09/2018 15:14:57,26.97,26.15,27.53,26.15,0,80.38,17.24
Cboe/CME FX British Pound Volatility Index,INDEXCBOE:BPVIX,24/09/2018 15:14:56,10.54,10.54,10.58,10.47,0,14.47,3.59
Cboe SKEW Index,INDEXCBOE:SKEW,21/09/2018 16:32:44,141.55,141.55,141.55,141.55,0,159.03,117.99
