Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,27/09/2018 16:30:00,52.48,53.5,53.9,52.4,56167,62.79,41.02
1SPATIAL PLC,LON:SPA,27/09/2018 16:30:00,43.15,44.15,44.15,43.15,1936,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,27/09/2018 16:30:00,3.05,3.05,3.05,3.05,8135,4.47,2
3I GROUP PLC,LON:III,27/09/2018 16:54:24,962,951.2,964.4,949,1719112,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,27/09/2018 16:35:13,240.3,246.4,246.4,238.1,675837,249.75,193
4D PHARMA PLC,LON:DDDD,27/09/2018 16:30:00,170.4,184,184,170.4,19063,387,114
4IMPRINT GROUP PLC,LON:FOUR,27/09/2018 16:35:26,1980,2029.5,2030,1980,968,2280,1550
600 GROUP PLC,LON:SIXH,27/09/2018 16:30:00,18.5,18.5,18.5,18.5,5000,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,27/09/2018 16:30:00,4.59,4.59,4.59,4.5,10421,6.92,3.83
888 HOLDINGS PLC,LON:888,27/09/2018 16:35:37,190.2,228.6,231.4,190.2,3692798,326.6,190.2
88 ENERGY LIMITED,LON:88E,27/09/2018 16:30:00,1.14,1.11,1.2,1.11,4870679,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,27/09/2018 16:30:00,1331,1331,1331,1331,15,1429,1230
ABCAM PLC,LON:ABC,27/09/2018 16:37:50,1465,1461,1465,1431,376605,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,27/09/2018 16:30:00,1273.5,1244,1275,1235,3118,1365,577.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,27/09/2018 16:36:16,204,202,204,202,69272,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,27/09/2018 16:35:00,1005,1010,1015,1005,12569,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,27/09/2018 16:35:22,125,124.16,125,123.5,516299,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,27/09/2018 16:30:00,539,539,539,539,500,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,27/09/2018 16:35:39,51,50.5,51.05,50.5,71902,65.75,50.5
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,27/09/2018 16:30:00,595,595.5,595.5,595,2620,680.5,564.5
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,27/09/2018 16:30:00,61.4,60.41,61.4,60.2,33527,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,27/09/2018 16:35:25,223,225,225,221,44988,249,215.95
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,27/09/2018 16:30:00,430.68,429.2,434,428.12,25785,547,408
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,27/09/2018 16:30:00,585.84,584.48,590,584.48,1111,596,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,27/09/2018 16:30:00,268.5,265.07,268.5,265.07,2754,303.9,255
