Name,Ticker,tradetime,price,priceopen,high,low,volume,high52,low52
1PM PLC,LON:OPM,01/10/2018 16:30:00,53.24,53.68,54,52.41,23817,62.79,41.02
1SPATIAL PLC,LON:SPA,01/10/2018 16:30:00,42.2,43,43,42.2,1518,47.9,27.5
21ST CENTURY TECHNOLOGY PLC,LON:C21,01/10/2018 16:30:00,3.37,3.05,3.5,3.05,19179,4.47,2
3I GROUP PLC,LON:III,01/10/2018 16:40:53,948.6,943.8,950,937.2,1937437,1038,845.16
3I INFRASTRUCTURE PLC,LON:3IN,01/10/2018 16:35:06,245.6,246,247.5,243.55,194036,249.75,193
4D PHARMA PLC,LON:DDDD,01/10/2018 16:30:00,152,160,164.5,150,17222,387,114
4IMPRINT GROUP PLC,LON:FOUR,01/10/2018 16:35:01,2020,2036,2040,1995,9045,2280,1550
600 GROUP PLC,LON:SIXH,01/10/2018 16:41:02,18.12,18.35,18.35,18,112416,19.89,13.15
7DIGITAL GROUP PLC,LON:7DIG,01/10/2018 16:30:00,4.31,4.41,4.6,4.31,396752,6.5,3.83
888 HOLDINGS PLC,LON:888,01/10/2018 16:35:16,196,198.4,199.95,190.8,1023147,326.6,190.2
88 ENERGY LIMITED,LON:88E,01/10/2018 17:07:49,1.15,1.15,1.18,1.1,6652535,3,0.9
AA PLC,LON:AA.,,,,,,,,
ABBEY PLC,LON:ABBY,01/10/2018 16:30:00,1331,,,,0,1429,1230
ABCAM PLC,LON:ABC,01/10/2018 16:35:14,1440,1424,1456,1424,294868,1643.8,9.73
AB DYNAMICS PLC,LON:ABDP,01/10/2018 16:30:00,1280,1250,1280,1225,12487,1365,577.5
ABERDEEN ASIAN INCOME FUND LTD,LON:AAIF,01/10/2018 16:30:00,203.11,203,204.49,203,103133,313.5,195.5
ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,LON:AAS,01/10/2018 16:35:07,1020,1018.24,1025,1005,10035,1085,970.29
ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,LON:ADIG,01/10/2018 16:30:00,125.04,123.95,126,123.95,220294,126,115
ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,LON:AEMC,01/10/2018 16:35:26,542,549.33,550,542,66202,660,524.36
ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,LON:AFMC,01/10/2018 16:30:00,50.72,51,51.5,50.5,203164,65.75,50.5
ABERDEEN JAPAN INVESTMENT TRUST PLC,LON:AJIT,01/10/2018 16:30:00,600,600,600,600,2295,680.5,564.5
ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,LON:ALAI,01/10/2018 16:30:00,62.32,62.51,62.58,61.8,34430,78.75,58.59
ABERDEEN NEW DAWN INVESTMENT TRUST PLC,LON:ABD,01/10/2018 16:37:14,225,222,226,222,78080,249,215.95
ABERDEEN NEW INDIA INVESTMENT TRUST PLC,LON:ANII,01/10/2018 16:30:00,431.6,431.6,433.41,428.1,46746,547,408
ABERDEEN NEW THAI INVESTMENT TRUST PLC,LON:ANW,01/10/2018 16:30:00,597,594,597,594,17624,597,510
ABERDEEN SMALLER COMPANIES INCOME TRUST PLC,LON:ASCI,01/10/2018 16:30:00,265,268.4,273.25,265,22312,303.9,255
ABERDEEN STANDARD EUROPEAN LOGISTICS INCOME PLC,LON:ASLI,01/10/2018 16:35:08,108.5,109.05,109.5,108.5,46005,113.5,97.2
ABERFORTH SMALLER COMPANIES TRUST PLC,LON:ASL,01/10/2018 16:42:02,1330,1330.2,1346,1329.84,99767,1448.19,1240
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIT,01/10/2018 16:30:00,96.4,95.62,96.4,94.31,32292,109.38,89
ABERFORTH SPLIT LEVEL INCOME TRUST PLC,LON:ASIZ,01/10/2018 16:30:00,106.1,,,,0,110,105
ABZENA PLC,LON:ABZA,01/10/2018 16:30:00,15.8,15.89,15.89,15.8,100772,35,5.7
ACACIA MINING PLC,LON:ACA,01/10/2018 16:35:24,131,129.1,132.45,126.05,854428,257.56,93.56
ACCESS INTELLIGENCE PLC,LON:ACC,01/10/2018 16:30:00,5.96,,,,0,6.1,3
ACCESSO TECHNOLOGY GROUP PLC,LON:ACSO,01/10/2018 16:30:49,2905.5,2934,2968,2875,18778,3000,1880
ACCROL GROUP HOLDINGS PLC,LON:ACRL,01/10/2018 16:30:00,21,21,23,21,18434,136,0.42
ACCSYS TECHNOLOGIES PLC,LON:AXS,01/10/2018 16:30:00,99.34,98.2,99.34,98.2,6033,102,72
